date,miner,type,to_miner,address,value,pct_addrs,pct_value
3/1/2014 0:00,AntPool,cross,SAME,354,1972.721893,1,1
3/1/2014 0:00,AntPool,cross,CROSS,19,50.04612012,0.053672316,0.02536907
3/1/2014 0:00,AntPool,after,SAME,3,51.100255,0.008474576,0.025903426
3/1/2014 0:00,AntPool,after,DROPOUT,335,1873.049738,0.946327684,0.949474806
4/1/2014 0:00,AntPool,before,SAME,3,7.07985782,0.039473684,0.03325641
4/1/2014 0:00,AntPool,before,NEW,71,204.7571593,0.934210526,0.961811397
4/1/2014 0:00,AntPool,cross,SAME,76,212.8870171,1,1
4/1/2014 0:00,AntPool,cross,CROSS,5,11.82670055,0.065789474,0.055553884
4/1/2014 0:00,AntPool,after,SAME,1,1,0.013157895,0.004697327
4/1/2014 0:00,AntPool,after,DROPOUT,74,206.5196865,0.973684211,0.970090564
5/1/2014 0:00,AntPool,before,SAME,1,1,0.016666667,0.006741169
5/1/2014 0:00,AntPool,before,NEW,58,147.317219,0.966666667,0.993090302
5/1/2014 0:00,AntPool,cross,SAME,60,148.342219,1,1
5/1/2014 0:00,AntPool,cross,CROSS,3,3.025,0.05,0.020392037
5/1/2014 0:00,AntPool,after,SAME,3,8.1,0.05,0.054603471
5/1/2014 0:00,AntPool,after,DROPOUT,54,137.217219,0.9,0.925004492
6/1/2014 0:00,AntPool,before,SAME,3,11.72858,0.078947368,0.008107129
6/1/2014 0:00,AntPool,before,NEW,33,476.1691865,0.868421053,0.329141715
6/1/2014 0:00,AntPool,cross,SAME,38,1446.699598,1,1
6/1/2014 0:00,AntPool,cross,CROSS,2,958.8018315,0.052631579,0.662751156
6/1/2014 0:00,AntPool,after,SAME,2,997.087,0.052631579,0.689214956
6/1/2014 0:00,AntPool,after,BitFury,0,0,0,0
6/1/2014 0:00,AntPool,after,DROPOUT,36,449.6125981,0.947368421,0.310785044
7/1/2014 0:00,AntPool,before,SAME,2,1063.771,0.051282051,0.886173988
7/1/2014 0:00,AntPool,before,NEW,37,136.6377401,0.948717949,0.113826012
7/1/2014 0:00,AntPool,cross,SAME,39,1200.40874,1,1
7/1/2014 0:00,AntPool,cross,BitFury,0,0,0,0
7/1/2014 0:00,AntPool,cross,CROSS,2,1037.374,0.051282051,0.864183978
7/1/2014 0:00,AntPool,after,SAME,2,1063.771,0.051282051,0.886173988
7/1/2014 0:00,AntPool,after,DROPOUT,35,135.6752542,0.897435897,0.113024214
7/1/2014 0:00,BitFury,before,AntPool,0,0,0,0
7/1/2014 0:00,BitFury,before,NEW,2,5000.010138,1,1
7/1/2014 0:00,BitFury,cross,AntPool,0,0,0,0
7/1/2014 0:00,BitFury,cross,SAME,2,5000.010138,1,1
7/1/2014 0:00,BitFury,cross,CROSS,0,0,0,0
7/1/2014 0:00,BitFury,after,AntPool,0,0,0,0
7/1/2014 0:00,BitFury,after,DROPOUT,2,5000.010138,1,1
8/1/2014 0:00,AntPool,before,SAME,2,4361.188,0.2,0.994648554
8/1/2014 0:00,AntPool,before,BitFury,0,0,0,0
8/1/2014 0:00,AntPool,before,NEW,7,22.46452943,0.7,0.005123446
8/1/2014 0:00,AntPool,cross,SAME,10,4384.652229,1,1
8/1/2014 0:00,AntPool,cross,CROSS,2,4006.9647,0.2,0.913861463
8/1/2014 0:00,AntPool,after,SAME,2,4361.188,0.2,0.994648554
8/1/2014 0:00,AntPool,after,BitFury,0,0,0,0
8/1/2014 0:00,AntPool,after,DROPOUT,8,23.46422943,0.8,0.005351446
9/1/2014 0:00,AntPool,before,SAME,2,1109.009,0.095238095,0.270972852
9/1/2014 0:00,AntPool,before,NEW,18,2042.842123,0.857142857,0.499143611
9/1/2014 0:00,AntPool,cross,SAME,21,4092.694123,1,1
9/1/2014 0:00,AntPool,cross,BitFury,0,0,0,0
9/1/2014 0:00,AntPool,cross,CROSS,2,1732.496,0.095238095,0.423314313
9/1/2014 0:00,AntPool,after,SAME,4,3999.181,0.19047619,0.977151207
9/1/2014 0:00,AntPool,after,KanoPool,0,0,0,0
9/1/2014 0:00,AntPool,after,DROPOUT,17,93.51312282,0.80952381,0.022848793
9/1/2014 0:00,BitFury,before,AntPool,0,0,0,0
9/1/2014 0:00,BitFury,before,NEW,17,13083.48755,0.944444444,0.92899486
9/1/2014 0:00,BitFury,cross,AntPool,0,0,0,0
9/1/2014 0:00,BitFury,cross,SAME,18,14083.48755,1,1
9/1/2014 0:00,BitFury,cross,CROSS,0,0,0,0
9/1/2014 0:00,BitFury,after,AntPool,0,0,0,0
9/1/2014 0:00,BitFury,after,KanoPool,0,0,0,0
9/1/2014 0:00,BitFury,after,DROPOUT,17,8979.049365,0.944444444,0.637558654
10/1/2014 0:00,AntPool,before,SAME,4,2073.454,0.002998501,0.322006049
